time,lat,lon,alt,heading,speed,mode,armed
1782660659.118804,53.2194,6.5664998,0.0,89.99,0.0,Stabilize,False
1782660659.372824,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660659.626204,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660659.877112,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660660.13008,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660660.38254,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660660.635104,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660660.88738,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660661.140404,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660661.3932,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660661.6454198,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660661.8987439,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660662.1506078,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660662.407256,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660662.6604838,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660662.91338,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660663.16794,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660663.468992,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660663.724428,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660663.974716,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660664.226708,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660664.479472,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660664.732276,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660664.985988,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660665.238216,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660665.494412,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660665.7493038,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660666.002568,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660666.258412,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660666.523712,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660666.78316,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660667.340384,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660667.5959718,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660667.8506398,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660668.106272,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660668.3593519,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660668.611816,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660668.8628478,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660669.1234958,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660669.381448,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660669.6405919,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660669.900192,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660670.16116,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660670.426944,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660670.6898239,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660670.94976,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660671.210408,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660671.4719,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660671.731468,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660671.990784,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660672.2513158,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660672.5131838,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660672.7756958,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660673.0345159,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660673.301224,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660673.5647118,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660673.826128,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660674.085392,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660674.344092,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660674.60778,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660674.865916,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660675.123852,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660675.3833559,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660675.643648,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660675.905684,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660676.1640399,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660676.434896,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660676.702904,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660676.96276,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660677.2231998,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660677.4843118,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660677.7444558,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660678.00364,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660678.268144,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660678.5297718,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660678.789516,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660679.0527358,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660679.315868,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660679.577376,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660679.8373199,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660680.095608,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660680.3533359,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660680.614316,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660680.878988,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660681.140756,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660681.397388,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660681.656972,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660681.917572,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660682.178628,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660682.435844,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660682.693544,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660682.9561,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
1782660683.215232,53.2194,6.5664998,0.0,89.99,1.774550090205551e-10,Stabilize,False
